id,ccode,country,leader,age,T1,T2,tstart,tstop,group,survival_days,status,GDP_trend,GDP_pc,pop_log,polity5,violence,regime
33,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,personal
33,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,personal
34,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,personal
34,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,personal
34,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,personal
34,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,personal
34,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,personal
34,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,personal
34,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,personal
35,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,personal
35,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,personal
35,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,personal
35,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,personal
35,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,personal
35,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,personal
35,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,personal
36,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,personal
36,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,personal
36,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,personal
36,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,personal
36,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,personal
36,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,personal
36,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,personal
37,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,personal
37,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,personal
37,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,personal
37,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,personal
37,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,personal
37,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,personal
37,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,personal
38,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,personal
38,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,personal
38,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,personal
38,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,personal
38,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,personal
38,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,personal
38,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,personal
39,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,personal
39,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,personal
39,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,personal
39,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,personal
39,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,personal
39,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,personal
39,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,personal
40,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,personal
40,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,personal
40,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,personal
40,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,personal
40,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,personal
40,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,personal
40,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,personal
41,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,personal
41,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,personal
41,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,personal
41,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,personal
41,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,personal
41,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,personal
41,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,personal
42,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,personal
42,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,personal
42,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,personal
42,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,personal
42,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,personal
42,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,personal
42,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,personal
43,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,personal
43,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,personal
43,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,personal
43,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,personal
43,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,personal
43,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,personal
43,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,personal
44,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,personal
44,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,personal
44,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,personal
44,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,personal
44,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,personal
44,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,personal
44,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,personal
45,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,personal
45,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,personal
45,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,personal
45,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,personal
45,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,personal
45,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,personal
45,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,personal
46,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,other
46,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,other
46,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,other
46,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,other
46,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,other
46,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,other
46,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,other
47,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,other
47,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,other
47,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,other
47,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,other
47,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,other
47,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,other
47,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,other
48,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,military
48,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,military
48,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,military
48,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,military
48,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,military
48,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,military
48,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,military
49,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,military
49,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,military
49,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,military
49,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,military
49,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,military
49,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,military
49,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,military
50,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,other
50,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,other
50,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,other
50,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,other
50,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,other
50,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,other
50,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,other
51,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,military
51,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,military
51,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,military
51,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,military
51,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,military
51,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,military
51,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,military
52,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,military
52,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,military
52,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,military
52,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,military
52,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,military
52,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,military
52,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,military
53,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,military
53,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,military
53,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,military
53,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,military
53,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,military
53,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,military
53,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,military
54,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,presidential
54,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,presidential
54,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,presidential
54,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,presidential
54,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,presidential
54,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,presidential
54,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,presidential
55,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,presidential
55,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,presidential
55,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,presidential
55,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,presidential
55,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,presidential
55,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,presidential
55,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,presidential
56,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,presidential
56,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,presidential
56,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,presidential
56,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,presidential
56,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,presidential
56,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,presidential
56,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,presidential
57,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,presidential
57,41,Haiti,"Duvalier, Francois",58,443,443,1965,1966,A,2380,0,0.9587392550143267,1.673,6.067923147226945,-7,0,presidential
57,41,Haiti,"Duvalier, Francois",59,808,808,1966,1967,A,2380,0,0.9582409891519887,1.643,6.091972558386845,-7,0,presidential
57,41,Haiti,"Duvalier, Francois",60,1173,1173,1967,1968,A,2380,0,0.9559350370193456,1.601,6.112278540323787,-7,0,presidential
57,41,Haiti,"Duvalier, Francois",61,1538,1538,1968,1969,A,2380,0,0.9751945525291829,1.604,6.12981462370433,-7,0,presidential
57,41,Haiti,"Duvalier, Francois",62,1903,1903,1969,1970,A,2380,0,0.995947439518605,1.622,6.148312300845065,-7,0,presidential
57,41,Haiti,"Duvalier, Francois",63,2268,2380,1970,1971,A,2380,0,1.0150283321015028,1.648,6.168053034554069,-7,0,presidential
58,41,Haiti,"Duvalier, Francois",57,78,78,1964,1965,A,2380,0,0.9531005148869488,1.703,6.050678763004724,-7,0,presidential
